time,Pp1,Pp2
0,0,0
0.0134201,0,0
0.0134201,0,0
0.0134335,1.79E-06,1.78E-06
0.0134335,1.79E-06,1.78E-06
0.1,22.1945,4.56656
0.2,116.965,16.9108
0.3,255.26,32.6661
0.4,409.622,49.9083
0.5,567.912,67.8255
0.6,726.374,86.0315
0.7,884.372,104.362
0.8,1041.9,122.756
0.9,1199.14,141.188
1,1355.96,159.653
1.1,1512.6,178.143
1.2,1669.11,196.659
1.3,1825.64,215.199
1.4,1982.25,233.764
1.5,2139.02,252.357
1.6,2295.81,270.982
1.7,2452.67,289.64
1.8,2609.52,308.335
1.9,2766.39,327.068
2,2923.3,345.842
2.1,3080.23,364.66
2.2,3237.18,383.522
2.3,3394.17,402.432
2.4,3551.18,421.392
2.5,3708.23,440.405
2.6,3865.32,459.471
2.7,4022.45,478.595
2.8,4179.63,497.777
2.9,4336.88,517.021
3,4494.18,536.328
3.1,4651.56,555.702
3.2,4809.03,575.143
3.3,4966.58,594.655
3.4,5124.23,614.239
3.5,5281.96,633.898
3.6,5439.71,653.635
3.7,5597.54,673.452
3.8,5755.45,693.351
3.9,5913.45,713.334
4,6071.52,733.404
4.1,6229.68,753.562
4.2,6387.93,773.812
4.3,6546.27,794.155
4.4,6704.7,814.594
4.5,6863.23,835.132
4.6,7021.85,855.769
4.7,7180.56,876.51
4.8,7339.38,897.355
4.9,7498.3,918.308
5,7657.32,939.371
5.1,7816.51,960.545
5.2,7975.94,981.833
5.3,8135.44,1003.24
5.39,8313.26,1022.48
5.39,8313.26,1022.48
5.4,7744.91,1024.56
5.5,3974.29,1038.2
5.6,2337.81,1044.03
5.7,1623.51,1046.56
5.8,1303.64,1047.69
5.9,1159.67,1048.2
6,1093.03,1048.43
6.1,1067.24,1048.53
6.2,1055.28,1048.57
6.3,1050.65,1048.58
6.4,1047.82,1048.59
6.5,1047.32,1048.6
6.6,1047.6,1048.59
6.7,1047.88,1048.59
6.8,1048.17,1048.59
6.9,1048.28,1048.59
7,1048.32,1048.59
7.1,1048.36,1048.59
7.2,1048.4,1048.59
7.3,1048.44,1048.59
7.4,1048.48,1048.59
7.5,1048.51,1048.59
7.6,1048.55,1048.59
7.7,1048.55,1048.59
7.8,1048.55,1048.59
7.9,1048.55,1048.59
8,1048.56,1048.59
8.1,1048.56,1048.59
8.2,1048.56,1048.59
8.3,1048.57,1048.59
8.4,1048.57,1048.59
8.5,1048.57,1048.59
8.6,1048.57,1048.59
8.7,1048.58,1048.59
8.8,1048.58,1048.59
8.9,1048.58,1048.59
9,1048.59,1048.59
9.1,1048.59,1048.59
9.2,1048.59,1048.59
9.3,1048.59,1048.59
9.4,1048.59,1048.59
9.5,1048.59,1048.59
9.6,1048.59,1048.59
9.7,1048.59,1048.59
9.8,1048.59,1048.59
9.9,1048.59,1048.59
10,1048.59,1048.59
10.1,1048.59,1048.59
10.2,1048.59,1048.59
10.3,1048.59,1048.59
10.4,1048.59,1048.59
10.5,1048.59,1048.59
10.6,1048.59,1048.59
10.7,1048.59,1048.59
10.8,1048.59,1048.59
10.9,1048.59,1048.59
11,1048.59,1048.59
11.1,1048.59,1048.59
11.2,1048.59,1048.59
11.3,1048.59,1048.59
11.4,1048.59,1048.59
11.5,1048.59,1048.59
11.6,1048.59,1048.59
11.7,1048.59,1048.59
11.8,1048.59,1048.59
11.9,1048.59,1048.59
12,1048.59,1048.59
12.1,1048.59,1048.59
12.2,1048.59,1048.59
12.3,1048.59,1048.59
12.4,1048.59,1048.59
12.5,1048.59,1048.59
12.6,1048.59,1048.59
12.7,1048.59,1048.59
12.8,1048.59,1048.59
12.9,1048.59,1048.59
13,1048.59,1048.59
13.1,1048.59,1048.59
13.2,1048.59,1048.59
13.3,1048.59,1048.59
13.4,1048.59,1048.59
13.5,1048.59,1048.59
13.6,1048.59,1048.59
13.7,1048.59,1048.59
13.8,1048.59,1048.59
13.9,1048.59,1048.59
14,1048.59,1048.59
14.1,1048.59,1048.59
14.2,1048.59,1048.59
14.3,1048.59,1048.59
14.4,1048.59,1048.59
14.5,1048.59,1048.59
14.6,1048.59,1048.59
14.7,1048.59,1048.59
14.8,1048.59,1048.59
14.9,1048.59,1048.59
15,1048.59,1048.59
15.1,1048.59,1048.59
15.2,1048.59,1048.59
15.3,1048.59,1048.59
15.4,1048.59,1048.59
15.5,1048.59,1048.59
15.6,1048.59,1048.59
15.7,1048.59,1048.59
15.8,1048.59,1048.59
15.9,1048.59,1048.59
16,1048.59,1048.59
16.1,1048.59,1048.59
16.2,1048.59,1048.59
16.3,1048.59,1048.59
16.4,1048.59,1048.59
16.5,1048.59,1048.59
16.6,1048.59,1048.59
16.7,1048.59,1048.59
16.8,1048.59,1048.59
16.9,1048.59,1048.59
17,1048.59,1048.59
17.1,1048.59,1048.59
17.2,1048.59,1048.59
17.22,1048.59,1048.59
17.22,1048.58,1048.59
17.3,-1759.96,1045
17.4,-3385.84,1034.03
17.5,-4035.26,1019.75
17.6,-4278.7,1004.14
17.7,-4352.82,988.022
17.8,-4355.46,971.721
17.9,-4316.9,955.344
18,-4262.83,938.98
18.1,-4200.56,922.653
18.2,-4136.51,906.387
18.3,-4070.74,890.18
18.4,-4004.22,874.034
18.5,-3936.72,857.947
18.6,-3869.61,841.925
18.7,-3802.43,825.963
18.8,-3735.19,810.061
18.9,-3667.87,794.217
19,-3600.52,778.432
19.1,-3533.1,762.702
19.2,-3465.63,747.029
19.3,-3398.11,731.409
19.4,-3330.58,715.843
19.5,-3263.02,700.33
19.6,-3195.43,684.868
19.7,-3127.8,669.456
19.8,-3060.13,654.093
19.9,-2992.44,638.778
20,-2924.7,623.51
20.1,-2856.93,608.288
20.2,-2789.07,593.111
20.3,-2721.18,577.977
20.4,-2653.24,562.886
20.5,-2585.26,547.836
20.6,-2517.23,532.827
20.7,-2449.17,517.857
20.8,-2381.08,502.926
20.9,-2312.94,488.031
21,-2244.77,473.173
21.1,-2176.57,458.351
21.2,-2108.33,443.562
21.3,-2040.06,428.806
21.4,-1971.75,414.082
21.5,-1903.41,399.388
21.6,-1835.05,384.725
21.7,-1766.65,370.09
21.8,-1698.22,355.483
21.9,-1629.76,340.902
22,-1561.28,326.346
22.1,-1492.77,311.815
22.2,-1424.24,297.308
22.3,-1355.68,282.822
22.4,-1287.1,268.357
22.5,-1218.5,253.913
22.6,-1149.88,239.488
22.7,-1081.24,225.08
22.8,-1012.58,210.69
22.9,-943.909,196.315
23,-875.219,181.954
23.1,-806.514,167.608
23.2,-737.796,153.274
23.3,-669.064,138.951
23.4,-600.321,124.639
23.5,-531.566,110.336
23.6,-462.803,96.0415
23.7,-394.031,81.754
23.8,-325.252,67.4726
23.9,-256.467,53.1962
24,-187.677,38.9238
24.1,-118.883,24.6542
24.17,-70.9179,14.6863
24.17,-70.9179,14.6863
24.2,-38.5203,10.8873
24.3,-3.22914,3.32904
24.4,0.00891573,0.0639482
24.4031,-2.88E-07,-1.78E-06
24.4031,-1.29E-12,-1.29E-12
24.5,-1.29E-12,-1.29E-12
24.6,-1.29E-12,-1.29E-12
24.7,-1.29E-12,-1.29E-12
24.8,-1.29E-12,-1.29E-12
24.9,-1.29E-12,-1.29E-12
25,-1.29E-12,-1.29E-12
25.1,-1.29E-12,-1.29E-12
25.2,-1.29E-12,-1.29E-12
25.3,-1.29E-12,-1.29E-12
25.4,-1.29E-12,-1.29E-12
25.5,-1.29E-12,-1.29E-12
25.6,-1.29E-12,-1.29E-12
25.7,-1.29E-12,-1.29E-12
25.8,-1.29E-12,-1.29E-12
25.9,-1.29E-12,-1.29E-12
26,-1.29E-12,-1.29E-12
26.1,-1.29E-12,-1.29E-12
26.2,-1.29E-12,-1.29E-12
26.3,-1.29E-12,-1.29E-12
26.4,-1.29E-12,-1.29E-12
26.5,-1.29E-12,-1.29E-12
26.6,-1.29E-12,-1.29E-12
26.7,-1.29E-12,-1.29E-12
26.8,-1.29E-12,-1.29E-12
26.9,-1.29E-12,-1.29E-12
27,-1.29E-12,-1.29E-12
27.1,-1.29E-12,-1.29E-12
27.2,-1.29E-12,-1.29E-12
27.3,-1.29E-12,-1.29E-12
27.4,-1.29E-12,-1.29E-12
27.5,-1.29E-12,-1.29E-12
27.6,-1.29E-12,-1.29E-12
27.7,-1.29E-12,-1.29E-12
27.8,-1.29E-12,-1.29E-12
27.9,-1.29E-12,-1.29E-12
28,-1.29E-12,-1.29E-12
28.1,-1.29E-12,-1.29E-12
28.2,-1.29E-12,-1.29E-12
28.3,-1.29E-12,-1.29E-12
28.4,-1.29E-12,-1.29E-12
28.5,-1.29E-12,-1.29E-12
28.6,-1.29E-12,-1.29E-12
28.7,-1.29E-12,-1.29E-12
28.8,-1.29E-12,-1.29E-12
28.9,-1.29E-12,-1.29E-12
29,-1.29E-12,-1.29E-12
29.1,-1.29E-12,-1.29E-12
29.2,-1.29E-12,-1.29E-12
29.3,-1.29E-12,-1.29E-12
29.4,-1.29E-12,-1.29E-12
29.5,-1.29E-12,-1.29E-12
29.6,-1.29E-12,-1.29E-12
29.7,-1.29E-12,-1.29E-12
29.8,-1.29E-12,-1.29E-12
29.9,-1.29E-12,-1.29E-12
30,-1.29E-12,-1.29E-12
30.1,-1.29E-12,-1.29E-12
30.2,-1.29E-12,-1.29E-12
30.3,-1.29E-12,-1.29E-12
30.4,-1.29E-12,-1.29E-12
30.5,-1.29E-12,-1.29E-12
30.6,-1.29E-12,-1.29E-12
30.7,-1.29E-12,-1.29E-12
30.8,-1.29E-12,-1.29E-12
30.9,-1.29E-12,-1.29E-12
31,-1.29E-12,-1.29E-12
31.1,-1.29E-12,-1.29E-12
31.2,-1.29E-12,-1.29E-12
31.3,-1.29E-12,-1.29E-12
31.4,-1.29E-12,-1.29E-12
31.5,-1.29E-12,-1.29E-12
31.6,-1.29E-12,-1.29E-12
31.7,-1.29E-12,-1.29E-12
31.8,-1.29E-12,-1.29E-12
31.9,-1.29E-12,-1.29E-12
32,-1.29E-12,-1.29E-12
32.1,-1.29E-12,-1.29E-12
32.2,-1.29E-12,-1.29E-12
32.3,-1.29E-12,-1.29E-12
32.4,-1.29E-12,-1.29E-12
32.5,-1.29E-12,-1.29E-12
32.6,-1.29E-12,-1.29E-12
32.7,-1.29E-12,-1.29E-12
32.8,-1.29E-12,-1.29E-12
32.9,-1.29E-12,-1.29E-12
33,-1.29E-12,-1.29E-12
33.1,-1.29E-12,-1.29E-12
33.2,-1.29E-12,-1.29E-12
33.3,-1.29E-12,-1.29E-12
33.4,-1.29E-12,-1.29E-12
33.5,-1.29E-12,-1.29E-12
33.6,-1.29E-12,-1.29E-12
33.7,-1.29E-12,-1.29E-12
33.8,-1.29E-12,-1.29E-12
33.9,-1.29E-12,-1.29E-12
34,-1.29E-12,-1.29E-12
34.1,-1.29E-12,-1.29E-12
34.2,-1.29E-12,-1.29E-12
34.3,-1.29E-12,-1.29E-12
34.4,-1.29E-12,-1.29E-12
34.5,-1.29E-12,-1.29E-12
34.6,-1.29E-12,-1.29E-12
34.7,-1.29E-12,-1.29E-12
34.8,-1.29E-12,-1.29E-12
34.9,-1.29E-12,-1.29E-12
35,-1.29E-12,-1.29E-12
35.1,-1.29E-12,-1.29E-12
35.2,-1.29E-12,-1.29E-12
35.3,-1.29E-12,-1.29E-12
35.4,-1.29E-12,-1.29E-12
35.5,-1.29E-12,-1.29E-12
35.6,-1.29E-12,-1.29E-12
35.7,-1.29E-12,-1.29E-12
35.8,-1.29E-12,-1.29E-12
35.9,-1.29E-12,-1.29E-12
36,-1.29E-12,-1.29E-12
36.1,-1.29E-12,-1.29E-12
36.2,-1.29E-12,-1.29E-12
36.3,-1.29E-12,-1.29E-12
36.4,-1.29E-12,-1.29E-12
36.5,-1.29E-12,-1.29E-12
36.6,-1.29E-12,-1.29E-12
36.7,-1.29E-12,-1.29E-12
36.8,-1.29E-12,-1.29E-12
36.9,-1.29E-12,-1.29E-12
37,-1.29E-12,-1.29E-12
37.1,-1.29E-12,-1.29E-12
37.2,-1.29E-12,-1.29E-12
37.3,-1.29E-12,-1.29E-12
37.4,-1.29E-12,-1.29E-12
37.5,-1.29E-12,-1.29E-12
37.6,-1.29E-12,-1.29E-12
37.7,-1.29E-12,-1.29E-12
37.8,-1.29E-12,-1.29E-12
37.9,-1.29E-12,-1.29E-12
38,-1.29E-12,-1.29E-12
38.1,-1.29E-12,-1.29E-12
38.2,-1.29E-12,-1.29E-12
38.3,-1.29E-12,-1.29E-12
38.4,-1.29E-12,-1.29E-12
38.5,-1.29E-12,-1.29E-12
38.6,-1.29E-12,-1.29E-12
38.7,-1.29E-12,-1.29E-12
38.8,-1.29E-12,-1.29E-12
38.9,-1.29E-12,-1.29E-12
39,-1.29E-12,-1.29E-12
39.1,-1.29E-12,-1.29E-12
39.2,-1.29E-12,-1.29E-12
39.3,-1.29E-12,-1.29E-12
39.4,-1.29E-12,-1.29E-12
39.5,-1.29E-12,-1.29E-12
39.6,-1.29E-12,-1.29E-12
39.7,-1.29E-12,-1.29E-12
39.8,-1.29E-12,-1.29E-12
39.9,-1.29E-12,-1.29E-12
40,-1.29E-12,-1.29E-12
40.1,-1.29E-12,-1.29E-12
40.2,-1.29E-12,-1.29E-12
40.3,-1.29E-12,-1.29E-12
40.4,-1.29E-12,-1.29E-12
40.5,-1.29E-12,-1.29E-12
40.6,-1.29E-12,-1.29E-12
40.7,-1.29E-12,-1.29E-12
40.8,-1.29E-12,-1.29E-12
40.9,-1.29E-12,-1.29E-12
41,-1.29E-12,-1.29E-12
41.1,-1.29E-12,-1.29E-12
41.2,-1.29E-12,-1.29E-12
41.3,-1.29E-12,-1.29E-12
41.4,-1.29E-12,-1.29E-12
41.5,-1.29E-12,-1.29E-12
41.6,-1.29E-12,-1.29E-12
41.7,-1.29E-12,-1.29E-12
41.8,-1.29E-12,-1.29E-12
41.9,-1.29E-12,-1.29E-12
42,-1.29E-12,-1.29E-12
42.1,-1.29E-12,-1.29E-12
42.2,-1.29E-12,-1.29E-12
42.3,-1.29E-12,-1.29E-12
42.4,-1.29E-12,-1.29E-12
42.5,-1.29E-12,-1.29E-12
42.6,-1.29E-12,-1.29E-12
42.7,-1.29E-12,-1.29E-12
42.8,-1.29E-12,-1.29E-12
42.9,-1.29E-12,-1.29E-12
43,-1.29E-12,-1.29E-12
43.1,-1.29E-12,-1.29E-12
43.2,-1.29E-12,-1.29E-12
43.3,-1.29E-12,-1.29E-12
43.4,-1.29E-12,-1.29E-12
43.5,-1.29E-12,-1.29E-12
43.6,-1.29E-12,-1.29E-12
43.7,-1.29E-12,-1.29E-12
43.8,-1.29E-12,-1.29E-12
43.9,-1.29E-12,-1.29E-12
44,-1.29E-12,-1.29E-12
44.1,-1.29E-12,-1.29E-12
44.17,-1.29E-12,-1.29E-12
44.17,-4.62E-11,-4.62E-11
44.188,-1.78E-06,-1.78E-06
44.188,-1.78E-06,-1.78E-06
44.188,1.79E-06,1.78E-06
44.188,1.79E-06,1.78E-06
44.2,0.122439,0.0797511
44.3,23.6977,5.37946
44.4,87.3651,15.4714
44.5,170.966,27.6194
44.6,261.435,40.6638
44.7,353.333,54.1219
44.8,445.165,67.7518
44.9,536.728,81.4545
45,628.067,95.1925
45.1,719.209,108.952
45.2,810.294,122.725
