"time","driver.from_kmh.u"
0,0
0.0134201,0.0497962
0.0134201,0.0497962
0.0134335,0.0498462
0.0134335,0.0498462
0.1,0.371058
0.2,0.742115
0.3,1.11317
0.4,1.48423
0.5,1.85529
0.6,2.22635
0.7,2.5974
0.8,2.96846
0.9,3.33952
1,3.71058
1.1,4.08163
1.2,4.45269
1.3,4.82375
1.4,5.19481
1.5,5.56586
1.6,5.93692
1.7,6.30798
1.8,6.67904
1.9,7.05009
2,7.42115
2.1,7.79221
2.2,8.16327
2.3,8.53432
2.4,8.90538
2.5,9.27644
2.6,9.6475
2.7,10.0186
2.8,10.3896
2.9,10.7607
3,11.1317
3.1,11.5028
3.2,11.8738
3.3,12.2449
3.4,12.616
3.5,12.987
3.6,13.3581
3.7,13.7291
3.8,14.1002
3.9,14.4712
4,14.8423
4.1,15.2134
4.2,15.5844
4.3,15.9555
4.4,16.3265
4.5,16.6976
4.6,17.0686
4.7,17.4397
4.8,17.8108
4.9,18.1818
5,18.5529
5.1,18.9239
5.2,19.295
5.3,19.666
5.39,20
5.39,20
5.4,20
5.5,20
5.6,20
5.7,20
5.8,20
5.9,20
6,20
6.1,20
6.2,20
6.3,20
6.4,20
6.5,20
6.6,20
6.7,20
6.8,20
6.9,20
7,20
7.1,20
7.2,20
7.3,20
7.4,20
7.5,20
7.6,20
7.7,20
7.8,20
7.9,20
8,20
8.1,20
8.2,20
8.3,20
8.4,20
8.5,20
8.6,20
8.7,20
8.8,20
8.9,20
9,20
9.1,20
9.2,20
9.3,20
9.4,20
9.5,20
9.6,20
9.7,20
9.8,20
9.9,20
10,20
10.1,20
10.2,20
10.3,20
10.4,20
10.5,20
10.6,20
10.7,20
10.8,20
10.9,20
11,20
11.1,20
11.2,20
11.3,20
11.4,20
11.5,20
11.6,20
11.7,20
11.8,20
11.9,20
12,20
12.1,20
12.2,20
12.3,20
12.4,20
12.5,20
12.6,20
12.7,20
12.8,20
12.9,20
13,20
13.1,20
13.2,20
13.3,20
13.4,20
13.5,20
13.6,20
13.7,20
13.8,20
13.9,20
14,20
14.1,20
14.2,20
14.3,20
14.4,20
14.5,20
14.6,20
14.7,20
14.8,20
14.9,20
15,20
15.1,20
15.2,20
15.3,20
15.4,20
15.5,20
15.6,20
15.7,20
15.8,20
15.9,20
16,20
16.1,20
16.2,20
16.3,20
16.4,20
16.5,20
16.6,20
16.7,20
16.8,20
16.9,20
17,20
17.1,20
17.2,20
17.22,20
17.22,20
17.3,19.7698
17.4,19.482
17.5,19.1942
17.6,18.9065
17.7,18.6187
17.8,18.3309
17.9,18.0432
18,17.7554
18.1,17.4676
18.2,17.1799
18.3,16.8921
18.4,16.6043
18.5,16.3165
18.6,16.0288
18.7,15.741
18.8,15.4532
18.9,15.1655
19,14.8777
19.1,14.5899
19.2,14.3022
19.3,14.0144
19.4,13.7266
19.5,13.4388
19.6,13.1511
19.7,12.8633
19.8,12.5755
19.9,12.2878
20,12
20.1,11.7122
20.2,11.4245
20.3,11.1367
20.4,10.8489
20.5,10.5612
20.6,10.2734
20.7,9.98561
20.8,9.69784
20.9,9.41007
21,9.1223
21.1,8.83453
21.2,8.54676
21.3,8.25899
21.4,7.97122
21.5,7.68345
21.6,7.39568
21.7,7.10791
21.8,6.82014
21.9,6.53237
22,6.2446
22.1,5.95683
22.2,5.66906
22.3,5.38129
22.4,5.09353
22.5,4.80576
22.6,4.51799
22.7,4.23022
22.8,3.94245
22.9,3.65468
23,3.36691
23.1,3.07914
23.2,2.79137
23.3,2.5036
23.4,2.21583
23.5,1.92806
23.6,1.64029
23.7,1.35252
23.8,1.06475
23.9,0.776978
24,0.489209
24.1,0.201439
24.17,0
24.17,0
